set,mode,pressure,rpm,orifice,suction,level5,level3,,,,0,,0
,3,0,0,10,0,2,1,,#NUM!,0,#NUM!,#NUM!,0
9,1,400.4476608,579,30,0.88,2,1,,-0.055517328,400.4476608,2.602545761,8.851771828,579
,1,382.2454944,582,23,2.32,2,1,,0.365487985,382.2454944,2.582342375,8.09691958,582
,1,364.043328,587,19,4.4,2,1,,0.643452676,364.043328,2.561153076,7.541158948,587
,1,336.7400784,595,16,6.97,2,1,,0.843232778,336.7400784,2.527294809,7.007149084,595
,1,282.1335792,610,13,10.45,2,1,,1.01911629,282.1335792,2.450454778,6.285292409,610
,1,218.4259968,648,10,12.78,2,1,,1.106530854,218.4259968,2.339304326,5.38644727,648
,2,600.6714912,766.5,30,2.36,2,1,,0.372912003,600.6714912,2.77863702,9.450692958,766.5
,2,582.4693248,769.5,23,6.44,2,1,,0.808885867,582.4693248,2.765273059,8.670497681,769.5
,2,546.064992,776.5,19,11.82,2,1,,1.072617477,546.064992,2.737244335,8.059648915,776.5
,2,499.6494677,786.5,16,18.18,2,1,,1.259593879,499.6494677,2.698665429,7.482289334,786.5
,2,418.6498272,812.5,13,26.85,2,1,,1.42894429,418.6498272,2.621850916,6.724914823,812.5
,2,311.2570454,866.5,10,31.86,2,1,,1.503245771,311.2570454,2.493119191,5.740619083,866.5
,3,1133.084858,1214.5,30,11.15,2,1,,1.047274867,1133.084858,3.054262436,10.3881494,1214.5
,3,1090.309767,1221,23,29.64,2,1,,1.471878199,1090.309767,3.037549903,9.52422015,1221
,3,1023.87186,1232.5,19,53.17,2,1,,1.72566666,1023.87186,3.010245607,8.863484502,1232.5
,3,928.3104864,1253.5,16,80.26,2,1,,1.904499155,928.3104864,2.967693256,8.228192854,1253.5
,3,777.2325053,1301.5,13,112.07,2,1,,2.049489372,777.2325053,2.890550955,7.414116816,1301.5
,3,0,0,10,0,2,1,,#NUM!,0,#NUM!,#NUM!,0
10,1,473.2563264,589.5,30,0.79,3,2,,-0.102372909,473.2563264,2.675096428,9.098530967,589.5
,1,455.05416,588.5,23,2.33,3,2,,0.367355921,455.05416,2.658063089,8.334341441,588.5
,1,427.7509104,593,19,4.33,3,2,,0.636487896,427.7509104,2.631190943,7.747381173,593
,1,395.3915035,600,16,6.75,3,2,,0.829303773,395.3915035,2.597027333,7.200488694,600
,1,336.7400784,617,13,10.41,3,2,,1.01745073,336.7400784,2.527294809,6.482383196,617
,1,254.8303296,652,10,12.93,3,2,,1.111598525,254.8303296,2.406251116,5.54059795,652
,2,709.8844896,768,30,2.5,3,2,,0.397940009,709.8844896,2.851187687,9.697452097,768
,2,682.58124,772,23,6.46,3,2,,0.810232518,682.58124,2.834154348,8.886474565,772
,2,642.5364739,778,19,11.73,3,2,,1.069298012,642.5364739,2.807897786,8.26768369,778
,2,588.840083,789.5,16,18.12,3,2,,1.258158193,588.840083,2.769997365,7.680063456,789.5
,2,491.4584928,814.5,13,26.74,3,2,,1.427161403,491.4584928,2.691486844,6.903527452,814.5
,2,370.4140862,868.5,10,31.68,3,2,,1.500785173,370.4140862,2.568687494,5.914621532,868.5
,3,1330.578364,1216,30,10.96,3,2,,1.039810554,1330.578364,3.124040457,10.62547822,1216
,3,1276.881973,1222,23,29.3,3,2,,1.46686762,1276.881973,3.106150756,9.739317728,1222
,3,1200.432874,1233.5,19,52.14,3,2,,1.717171027,1200.432874,3.07933788,9.066922484,1233.5
,3,1088.489551,1255.5,16,79.06,3,2,,1.89795681,1088.489551,3.036824264,8.419864707,1255.5
,3,911.0184283,1303,13,110.75,3,2,,2.044343735,911.0184283,2.959527162,7.591037293,1303
,3,0,0,10,0,3,2,,#NUM!,0,#NUM!,#NUM!,0
11,1,622.9185835,596,30,0.89,3,2,,-0.050609993,622.9185835,2.794431287,9.504412378,596
,1,600.6714912,595.5,23,2.33,3,2,,0.367355921,600.6714912,2.77863702,8.712400305,595.5
,1,569.3233157,598.5,19,4.16,3,2,,0.619093331,569.3233157,2.75535897,8.112986353,598.5
,1,525.8403627,604,16,6.51,3,2,,0.813580989,525.8403627,2.720853919,7.54380889,604
,1,445.9530768,621,13,10.14,3,2,,1.006037955,445.9530768,2.649289165,6.795292541,621
,1,337.7513099,656.5,10,12.72,3,2,,1.104487111,337.7513099,2.528597042,5.822309855,656.5
,2,928.3104864,772,30,2.51,3,2,,0.399673721,928.3104864,2.967693256,10.09371053,772
